Site_Id,Salinity,Oxygen,pH,Depth,Water.Depth,Water.Temp,Air.Temp,year,month
Bay,1.3,11.7,7.3,0.4,0.4,5.9,46.4,1994,1
Bay,1.5,12,7.4,0.2,0.35,3,36.68,1994,1
Bay,1,10.5,7.2,0.25,0.6,5.9,45.68,1994,2
Bay,1,10.1,7.4,0.35,0.5,10,36.86,1994,2
Bay,1,12.6,7.2,0.2,0.4,1.6,32,1994,2
Bay,1,9.9,7.1,0.2,0.9,9.7,59.36,1994,3
Bay,0.5,10.4,7.2,0.25,0.75,9.8,50.18,1994,3
Bay,1,9.2,7.1,0.15,0.95,16.1,71.78,1994,3
Bay,1,9.2,7.2,0.25,0.75,15,56.3,1994,4
Bay,1,8.6,7.3,0.2,0.75,15.7,55.4,1994,4
Bay,1,8.8,7.6,0.2,0.7,17.5,61.88,1994,4
Bay,1,10,7.9,0.2,0.5,19.3,71.78,1994,4
Bay,1.3,9.8,7.5,0.2,0.65,16.1,55.4,1994,5
Bay,1,10.1,7.9,0.25,0.75,18.8,67.1,1994,5
Bay,1,8.2,7.8,0.25,0.8,22.1,72.14,1994,5
Bay,1,10.8,9.1,0.05,0.05,21.7,75.74,1994,5
Bay,1,8.7,8.5,0.35,0.8,22.3,72.86,1994,5
Bay,1,9.4,8.6,0.35,0.8,23.8,78.26,1994,6
Bay,1.2,10.4,9,0.35,0.8,27.9,80.42,1994,6
Bay,1.5,9.8,9,0.35,0.7,29.5,86.9,1994,6
Bay,1.5,7.3,8.1,0.25,1.2,25.5,82.22,1994,6
Bay,2,10.7,9,0.4,0.9,28.5,82.4,1994,7
Bay,2,11,9.4,0.5,0.9,30.5,83.3,1994,6
Bay,2,10.7,9.2,0.45,0.75,29,77.9,1994,8
Bay,2,10.2,9.2,0.4,0.55,22,70.7,1994,8
Bay,2.3,6.9,8.8,0.45,0.9,24.5,68,1994,8
Bay,2,9.1,9.1,0.45,0.9,27,76.1,1994,8
Bay,2.3,9.8,9.3,0.45,0.75,27,80.6,1994,8
Bay,2.5,8.6,8.5,0.2,1.2,17,62.6,1994,9
Bay,2.5,7.9,8.4,0.35,0.6,21,66.2,1994,9
Bay,2.5,8.2,8.1,0.45,0.6,20.5,70.7,1994,9
Bay,2.25,6.9,8.1,0.45,0.8,23,73.4,1994,9
Bay,2.5,8.4,8.1,0.45,0.5,17,62.6,1994,10
Bay,2.5,7.4,7.6,0.35,0.85,18,66.2,1994,10
Bay,2.5,9,7.3,0.2,0.5,15,59,1994,11
Bay,2.8,9.4,7.7,0.25,0.65,13,63.5,1994,11
Bay,2.5,11.4,6.9,0.35,0.4,5,41,1994,12
Bay,3,10.4,6.9,0.15,0.4,8,49.1,1994,12
Bay,1,9.7,7.5,0.15,0.65,10,53.6,1990,1
Bay,3.4,10.8,7.5,0.2,0.6,10,50,1990,2
Bay,3.2,10.6,7,0.2,0.7,10,48.2,1990,2
Bay,4.2,11.6,7.5,0.15,0.39,5,41,1990,2
Bay,2.8,13.8,7,0.5,1.5,2.5,33.8,1990,2
Bay,2.9,11.6,7,0.2,0.4,7,47.3,1990,3
Bay,2.9,9,7,0.15,0.69,17,69.8,1990,3
Bay,2.8,7.8,7,0.22,0.92,15,57.2,1990,3
Bay,3,10.8,7,0.25,0.4,9.5,48.2,1990,3
Bay,1.8,9.6,8,0.15,0.7,5,59,1990,4
Bay,4.1,10.8,7,0.25,0.78,11,53.6,1990,4
Bay,2.5,9.7,7,0.25,0.72,15,57.2,1990,4
Bay,2.8,10.7,7,0.25,0.59,15,59,1990,4
Bay,3.2,10,7,0.88,1.3,18,60.8,1990,4
Bay,4.5,8.9,7,0.25,0.75,17,64.4,1990,5
Bay,3.7,8.4,7,0.32,1,20,66.2,1990,5
Bay,2.1,8.9,7,0.375,0.95,19,68,1990,5
Bay,3.5,6.9,7,0.4,1.22,24,77,1990,6
Bay,3.2,7.9,7,0.35,0.75,24,71.6,1990,6
Bay,3.2,7.7,7,0.32,0.62,23.5,68,1990,6
Bay,3.8,7.9,7,0.35,0.91,26,78.8,1990,6
Bay,3.7,7.8,7,0.35,0.78,24,74.3,1990,7
Bay,4.2,7.5,7.5,0.3,0.82,26,79.7,1990,7
Bay,4.2,6.9,7.75,0.375,0.48,27,78.8,1990,7
Bay,4.2,7.7,8,0.4,0.98,26,78.8,1990,8
Bay,4.2,7.8,8,0.35,0.82,27,80.6,1990,8
Bay,4.2,8.9,8,0.35,0.94,27,83.3,1990,8
Bay,2.9,8.1,8,0.25,0.68,23,75.2,1990,9
Bay,2.4,8.8,8,0.25,0.78,21,64.4,1990,9
Bay,3.5,8.2,8,0.3,0.93,23,71.6,1990,10
Bay,0.7,12.5,8,0.1,0.38,9,50,1990,10
Bay,0.5,11.05,7.5,0.25,0.6,8,46.4,1990,12
Bay,0.7,11.8,8,0.2,0.39,9,46.4,1991,1
Bay,0.4,12.2,8,0.2,0.65,4.5,39.2,1991,1
Bay,0.5,13.2,7.5,0.2,0.65,4.5,40.1,1991,1
Bay,0.5,11.9,7.5,0.25,0.78,9,51.8,1991,1
Bay,0.7,11.1,7.5,0.3,0.41,7.5,46.4,1991,2
Bay,1.2,10.8,7.5,0.2,0.72,12,50.9,1991,2
Bay,0.7,11.8,7.5,0.2,0.28,8,46.4,1991,2
Bay,1.2,10,7.5,0.2,1.6,15,60.8,1991,3
Bay,0.4,12.9,7.5,0.15,0.35,6,39.2,1991,3
Bay,0,9.8,8,0.275,0.94,14,55.4,1991,3
Bay,1.2,10.7,8,0.32,0.78,13,57.2,1991,4
Bay,2.1,8.7,8,0.32,0.83,19,69.8,1991,4
Bay,1.2,8.9,7.5,0.32,0.52,14,59.9,1991,4
Bay,0.9,9.75,7.5,0.2,0.55,12.5,55.4,1991,4
Bay,2.4,8.3,7.5,0.35,0.8,20.5,64.4,1991,4
Bay,2.6,8,7.5,0.35,0.95,21,74.3,1991,5
Bay,1.3,9.5,7.5,0.3,0.5,15.5,59,1991,5
Bay,3,6.9,7.5,0.3,0.7,23,78.8,1991,6
Bay,3.8,6.8,7.5,0.325,1.09,26,80.6,1991,6
Bay,2.8,8.1,7.5,0.25,0.7,21,70.7,1991,6
Bay,1.8,7.8,7.5,0.35,0.95,28,85.1,1991,7
Bay,0,8,7.5,0.99,0.375,27.5,82.4,1991,7
Bay,0.7,8,7.5,0.35,1.025,24.5,79.7,1991,8
Bay,1.8,8.5,8,0.31,0.52,20,69.8,1991,9
Bay,3.5,7.7,7.5,0.28,0.7,21,71.6,1991,10
Bay,9,9.7,7.5,0.2,0.65,13,51.8,1991,10
Bay,4.7,10.2,7.7,0.25,0.75,13,56.3,1991,11
Bay,6.2,11.3,7,0.15,0.8,12,56.3,1991,11
Bay,2.6,9.1,7,0.15,0.85,17,67.1,1991,11
Bay,3.3,10.8,7.5,0.25,0.6,12,59,1991,11
Bay,2,10.4,7.5,0.15,0.25,10,59,1991,12
Bay,1.4,15.1,8,0.2,0.3,2,35.6,1991,12
Bay,2.9,11.6,7.5,0.35,0.49,7,44.6,1991,12
Bay,2,11.8,7.5,0.28,0.45,10,53.6,1992,1
Bay,2.2,11.3,7.5,0.3,0.99,7.5,49.1,1992,1
Bay,1.4,12.6,7,0.2,0.58,2,32.9,1992,1
Bay,1.6,11.6,7,0.25,0.48,6,43.7,1992,1
Bay,2.4,14.2,7,0.25,0.3,3,39.2,1992,2
Bay,2,11.1,7,0.15,0.68,10,44.6,1992,2
Bay,2.4,10,7.5,0.15,0.68,12.5,54.5,1992,2
Bay,2.9,11.3,8,0.2,0.8,13,59.9,1992,3
Bay,3.5,10,7.5,0.25,0.75,16,64.4,1992,3
Bay,2.9,11.6,7.5,0.05,0.35,3,44.6,1992,3
Bay,3,11,7.5,0.25,0.42,9,50,1992,4
Bay,3.8,10.6,7.5,0.1,0.5,13,45.5,1992,4
Bay,4.7,9.4,7,0.2,0.78,17,55.4,1992,4
Bay,3.7,9.6,7,0.35,0.65,14,55.49,1992,4
Bay,3.8,8.9,7.5,0.2,0.6,15.5,50,1992,5
Bay,4.2,9.2,7.5,0.3,0.7,17.5,62.6,1992,5
Bay,5,9.4,7,0.4,0.9,20,68.9,1992,6
Bay,4.3,7.9,7,0.4,1.05,27.5,84.2,1992,6
Bay,5.1,7.8,8,0.4,0.8,25,84.2,1992,6
Bay,4.7,9,7.5,0.45,0.68,19,64.4,1992,6
Bay,4.5,0.8,7.5,0.4,0.8,26,78.8,1992,6
Bay,4.3,7.5,7.5,0.45,1,25,75.2,1992,7
Bay,5.1,7.3,7.5,0.35,0.95,28.5,87.8,1992,7
Bay,5.1,7.6,8,0.35,0.95,28,86.9,1992,7
Bay,4.5,8,8,0.3,0.85,26,78.8,1992,8
Bay,4.7,8,8,0.33,0.6,23,77,1992,8
Bay,4.7,7.1,7.5,0.4,0.95,24.5,71.6,1992,8
Bay,3.9,8.5,8,0.4,0.8,24.5,78.8,1992,8
Bay,4.3,7.7,7.5,0.3,1,23,77,1992,8
Bay,4.8,9.2,8,0.38,0.38,19.5,71.6,1992,9
Bay,4.3,7.6,7.5,0.35,0.8,23.5,75.2,1992,9
Bay,5.4,9.8,8,0.25,0.45,24,79.7,1992,9
Bay,3.9,9.2,7.5,0.1,0.15,16,62.6,1992,10
Bay,4.1,9.8,7.5,0.1,1,12,50,1992,10
Bay,4.2,10.6,7,0.3,0.63,12.5,55.4,1992,10
Bay,3.4,10.6,7.5,0.35,0.65,16.5,63.5,1992,11
Bay,3.9,11,7.5,0.4,0.55,7.5,41.9,1992,11
Bay,3.9,9,7.85,0.25,0.85,18.5,70.7,1992,11
Bay,3.7,10.9,7.5,0.55,0.7,9,46.4,1992,11
Bay,4.1,10.8,7,0.15,0.5,12,59.9,1992,12
Bay,3.8,10.1,7,0.25,0.85,10.5,50.9,1992,12
Bay,4.7,13.2,7,0.25,0.45,5.5,41.9,1992,12
Bay,3.7,11,7,0.35,0.5,8,60.8,1993,1
Bay,3.5,11.9,7,0.25,0.25,9,44.6,1993,1
Bay,3.3,10.5,7,0.3,0.95,10.5,58.1,1993,1
Bay,2.9,12,7,0.2,0.85,6,49.1,1993,2
Bay,3.4,12.6,7,0.1,0.3,5,41.9,1993,2
Bay,3.5,12.4,7,0.3,0.75,8,53.6,1993,2
Bay,2.9,12.7,7,0.1,0.85,8,59,1993,2
Bay,3.9,10.7,7,0.1,1.15,10,56.3,1993,3
Bay,3.4,12.8,7,0.5,1.7,2.5,34.7,1993,3
Bay,3.3,11.2,7,0.15,0.4,10,51.8,1993,3
Bay,3,10,7,0.5,0.7,14.5,54.5,1993,3
Bay,2.5,10,7,0.35,0.8,10,44.6,1993,4
Bay,2.5,9.7,7,0.3,1,15.5,60.8,1993,4
Bay,3,10,7,0.3,1.15,14.5,53.6,1993,4
Bay,3.4,8.7,7,0.3,1.2,19,69.8,1993,4
Bay,3.2,8,7,0.4,0.85,21,69.8,1993,5
Bay,3.9,8,7,0.5,1,24,77,1993,5
Bay,2.9,9,7,0.3,0.85,20,71.6,1993,5
Bay,3.9,8.1,7,0.45,0.45,21.5,68.9,1993,6
Bay,3.8,7.2,7,0.55,1,26.5,80.6,1993,6
Bay,3.9,7.1,7,0.55,0.8,26.5,86,1993,6
Bay,4.2,7.3,7.5,0.45,0.75,27,81.5,1993,7
Bay,3.9,8,8,0.4,0.8,26.5,86,1993,8
Bay,3.5,9.1,8,0.3,0.55,25.5,79.7,1993,8
Bay,1.8,7.2,7.9,0.4,0.95,24.5,76.1,1993,9
Bay,1.5,8.8,7.8,0.3,0.5,16.5,59,1993,10
Bay,1.5,8.8,7.7,0.35,0.75,18,64.94,1993,10
Bay,1.8,10.6,8.4,0.4,0.6,15.6,66.02,1993,10
Bay,1.5,8.2,7.5,0.35,0.55,9.8,52.34,1993,11
Bay,1.4,9.6,7.9,0.4,0.8,17.3,72.5,1993,11
Bay,1.5,9.4,7.1,0.2,0.55,12.1,50.9,1993,11
Bay,1.5,9.8,7.4,0.25,0.75,10.5,48.74,1993,12
Bay,1.5,13,7.6,0.25,0.45,1.3,41.9,1993,12
Bay,1.5,12.1,7.1,0.3,0.7,3.8,39.74,1993,12
Bay,3,8.5,7.4,0.25,0.85,13.5,61.7,1995,1
Bay,3,10.75,7.1,0.2,0.7,4.5,46.4,1995,1
Bay,3,12.5,6.8,0.2,0.25,2,29.3,1995,2
Bay,2.4,9.3,7.1,0.2,0.2,9.5,46.4,1995,3
Bay,2.4,9.9,6.9,0.28,0.65,11.5,59.9,1995,3
Bay,2.8,8.9,7.1,0.35,0.45,12.5,54.5,1995,3
Bay,2.4,9,7.1,0.25,0.45,11,53.6,1995,3
Bay,2.4,9.3,7.1,0.4,0.55,11.5,54.5,1995,4
Bay,3.2,8.5,7.1,0.25,0.7,15,48.2,1995,4
Bay,3,9,7.1,0.25,0.5,16,58.1,1995,4
Bay,3,9.7,7.4,0.25,0.55,12.5,50,1995,4
Bay,3.2,8.9,7.2,0.3,0.6,15,52.7,1995,5
Bay,3.3,6.8,6.8,0.3,0.55,21.5,74.3,1995,5
Bay,3.3,6.8,6.8,0.3,0.55,21.5,74.3,1995,5
Bay,3.5,8.5,7.5,0.4,0.4,22,80.6,1995,5
Bay,4,7.8,7.6,0.3,0.3,25,73.4,1995,6
Bay,3.5,7.7,7.9,0.4,0.9,26.5,77.9,1995,6
Bay,3.2,7.7,8,0.4,0.55,25,75.2,1995,6
Bay,4,8.8,8.3,0.5,0.8,28.5,82.4,1995,6
Bay,4,7,7.9,0.35,0.7,26,79.7,1995,7
Bay,4,7,8,0.45,1,30,84.2,1995,7
Bay,4.5,7.2,8.4,0.55,0.9,32,92.3,1995,7
Bay,4.5,7.6,8.1,0.5,0.8,29.5,84.2,1995,7
